observation_date,SPPOP65UPTOZSUSA
2000-01-01,12.18581699048930
2001-01-01,12.14102043400480
2002-01-01,12.11326808779100
2003-01-01,12.10311097224100
2004-01-01,12.11099892024130
2005-01-01,12.13072813531190
2006-01-01,12.18400009189560
2007-01-01,12.31010795003600
2008-01-01,12.48666081314650
2009-01-01,12.67109303846860
2010-01-01,12.84476166371430
2011-01-01,13.06633046537380
2012-01-01,13.37660803806960
2013-01-01,13.70119271748690
2014-01-01,14.00892660085320
2015-01-01,14.31022471367950
2016-01-01,14.61472851189870
2017-01-01,14.93912339299990
2018-01-01,15.29148662458040
2019-01-01,15.67288524750030
2020-01-01,16.07191194393630
2021-01-01,16.47377002380470
2022-01-01,16.91962038964580
2023-01-01,17.43181948235390
